,imdb_title_id,title,original_title,year,date_published,genre,country,avg_vote,votes,budget,usa_gross_income,metascore,reviews_from_users,reviews_from_critics
69438,tt0043751,Stella solitaria,Lone Star,1952,2/8/1952,"Action, Adventure, History",USA,6.2,856,"$1,600,000 ",,,17.0,7.0
34102,tt0061747,Impiccalo più in alto,Hang 'Em High,1968,4/12/1968,"Drama, Western",USA,7.0,34306,"$1,600,000 ","$11,000,000 ",62.0,136.0,44.0
31842,tt0048791,Il favorito della grande regina,The Virgin Queen,1955,7/22/1955,"Biography, Drama, History",USA,6.8,2446,"$1,600,000 ",,,30.0,14.0
24328,tt0095803,Fuori nel buio,Out of the Dark,1988,5/5/1989,"Comedy, Horror, Thriller",USA,5.4,906,"$1,600,000 ",,,21.0,22.0
40008,tt0044121,La 'cosa' da un altro mondo,The Thing from Another World,1951,2/7/1952,"Horror, Sci-Fi",USA,7.1,24910,"$1,600,000 ",,,299.0,103.0
51166,tt1172066,Misconceptions,Misconceptions,2008,1/22/2010,"Comedy, Drama",USA,4.5,209,"$1,600,000 ","$6,892 ",,,5.0
40767,tt0042464,La leggenda dell'arciere di fuoco,The Flame and the Arrow,1950,7/9/1950,"Adventure, Drama, Romance",USA,7.0,3395,"$1,600,000 ",,,37.0,27.0
11617,tt0385988,Cappuccetto rosso,Red Riding Hood,2006,2/7/2007,"Adventure, Family, Musical",USA,3.5,1030,"$1,600,000 ",,,31.0,1.0
36054,tt0031507,Jess il bandito,Jesse James,1939,1/27/1939,"Biography, Crime, Drama",USA,7.0,3887,"$1,600,000 ",,,54.0,30.0
13383,tt0065724,Cinque pezzi facili,Five Easy Pieces,1970,5/28/1971,Drama,USA,7.5,32501,"$1,600,000 ",,85.0,224.0,102.0
4786,tt4174526,Ana Maria in Novela Land,Ana Maria in Novela Land,2015,2/27/2015,"Comedy, Drama, Romance",USA,5.6,333,"$1,600,000 ",,51.0,3.0,11.0
73261,tt5834278,The Directive,The Directive,2019,3/15/2019,"Action, Adventure, Comedy",USA,4.4,646,"$1,600 ",,,38.0,14.0
22322,tt0054476,Fango sulle stelle,Wild River,1960,9/21/1960,"Drama, History, Romance",USA,7.6,4660,"$1,595,000 ",,,48.0,40.0
69927,tt0043983,Sua altezza si sposa,Royal Wedding,1951,3/23/1951,"Comedy, Musical, Romance",USA,6.7,4687,"$1,590,920 ",,,54.0,36.0
34154,tt0051770,In amore e in guerra,In Love and War,1958,10/31/1958,"Drama, War",USA,6.1,359,"$1,590,000 ",,,8.0,7.0
60061,tt0037017,Prigionieri dell'oceano,Lifeboat,1944,4/1/1948,"Drama, War",USA,7.6,25855,"$1,590,000 ",,78.0,154.0,86.0
60614,tt0067927,Punto zero,Vanishing Point,1971,3/13/1971,"Action, Crime, Thriller",USA,7.2,26109,"$1,585,000 ","$12,442,673 ",61.0,181.0,110.0
42644,tt0051114,La vera storia di Jess il bandito,The True Story of Jesse James,1957,4/8/1957,"Action, Biography, Crime",USA,6.3,1214,"$1,585,000 ",,,26.0,20.0
82156,tt0055608,Viaggio in fondo al mare,Voyage to the Bottom of the Sea,1961,7/12/1961,"Action, Adventure, Sci-Fi",USA,6.1,5340,"$1,580,000 ",,,81.0,50.0
32282,tt0048259,Il ladro del re,The King's Thief,1955,8/5/1955,"Adventure, History",USA,5.7,520,"$1,577,000 ",,,8.0,3.0
12029,tt0040221,Caught,Caught,1949,4/1/1949,"Drama, Film-Noir, Romance",USA,7.0,3126,"$1,574,422 ",,,57.0,39.0
33051,tt0048510,Il principe degli attori,Prince of Players,1955,6/24/1955,"Biography, Drama",USA,6.7,355,"$1,570,000 ",,,26.0,2.0
61181,tt0051074,Questa notte o mai,This Could Be the Night,1957,12/12/1957,Comedy,USA,6.7,650,"$1,569,000 ",,,15.0,4.0
72048,tt0036422,Thank Your Lucky Stars,Thank Your Lucky Stars,1943,5/1/1948,"Comedy, Musical",USA,7.0,1535,"$1,568,000 ",,,42.0,18.0
42204,tt0045706,La sposa sognata,Dream Wife,1953,6/19/1953,"Comedy, Romance",USA,6.0,1699,"$1,565,000 ",,,20.0,9.0
64930,tt0048183,Scandalo al collegio,"How to Be Very, Very Popular",1955,1/6/1956,Comedy,USA,5.5,162,"$1,565,000 ",,,10.0,1.0
43334,tt0030879,L'amico pubblico n. 1,Too Hot to Handle,1938,9/16/1938,"Adventure, Comedy, Drama",USA,6.7,1342,"$1,564,000 ",,,19.0,9.0
71600,tt0045551,Tempeste sotto i mari,Beneath the 12-Mile Reef,1953,12/2/1953,"Adventure, Drama",USA,5.8,1195,"$1,560,000 ",,,35.0,22.0
47515,tt1514048,Loving the Bad Man,Loving the Bad Man,2010,7/10/2012,"Crime, Drama, Romance",USA,4.2,358,"$1,560,000 ",,,14.0,12.0
31162,tt0044391,Il bruto e la bella,The Bad and the Beautiful,1952,9/18/1953,"Drama, Romance",USA,7.8,12941,"$1,558,000 ",,,122.0,88.0
33791,tt0045876,Il trono nero,His Majesty O'Keefe,1954,1/16/1954,"Action, Adventure, Biography",USA,6.2,1130,"$1,550,000 ",,,24.0,5.0
57689,tt0029377,Parnell,Parnell,1937,6/4/1937,"Biography, Drama, Romance",USA,5.4,455,"$1,547,000 ",,,15.0,3.0
66159,tt0051848,Sfida nella città morta,The Law and Jake Wade,1958,11/22/1958,"Drama, Romance, Western",USA,6.8,2093,"$1,538,000 ",,,38.0,15.0
76937,tt0081766,The Wizard of Speed and Time,The Wizard of Speed and Time,1988,9/22/1989,"Biography, Comedy, Musical",USA,7.1,1880,"$1,535,000 ",,,40.0,13.0
78314,tt0047076,Tra due amori,Her Twelve Men,1954,8/11/1954,"Comedy, Drama",USA,6.4,385,"$1,534,000 ",,,14.0,3.0
82184,tt0041373,Viale Flamingo,Flamingo Road,1949,11/5/1949,"Drama, Film-Noir, Romance",USA,7.0,2327,"$1,528,000 ",,,46.0,25.0
62602,tt0043968,"Ricca, giovane e bella","Rich, Young and Pretty",1951,7/9/1951,"Comedy, Musical, Romance",USA,5.8,382,"$1,528,000 ",,,18.0,4.0
43807,tt0045737,L'assedio delle sette frecce,Escape from Fort Bravo,1953,12/4/1953,Western,USA,6.7,2332,"$1,520,000 ",,,42.0,19.0
29991,tt0049004,I diavoli del Pacifico,Between Heaven and Hell,1956,12/1/1956,"Drama, War",USA,6.6,1100,"$1,520,000 ",,,21.0,17.0
69029,tt0031473,Spregiudicati,Idiot's Delight,1939,1/27/1939,"Comedy, Drama, Musical",USA,6.6,1272,"$1,519,000 ",,,46.0,10.0
51277,tt0036166,Mission to Moscow,Mission to Moscow,1943,5/22/1943,"Drama, History, War",USA,5.4,834,"$1,516,000 ",,,54.0,9.0
51657,tt0054038,Mondo perduto,The Lost World,1960,7/13/1960,"Adventure, Fantasy, Sci-Fi",USA,5.5,3491,"$1,515,000 ",,,73.0,47.0
32428,tt0037051,Il matrimonio è un affare privato,Marriage Is a Private Affair,1944,8/23/1944,"Romance, War",USA,6.1,323,"$1,508,000 ",,,12.0,3.0
25831,tt0049571,Gli eroi della stratosfera,On the Threshold of Space,1956,4/30/1956,Drama,USA,7.0,162,"$1,505,000 ",,,9.0,
69528,tt1864492,Stitch,Stitch,2013,12/12/2013,Horror,USA,3.2,552,"$1,500,000 ",,,18.0,12.0
12662,tt3781616,Checkmate,Checkmate,2015,9/8/2015,"Action, Crime, Thriller",USA,2.8,973,"$1,500,000 ",,,29.0,7.0
59009,tt0811011,Pirates of Treasure Island,Pirates of Treasure Island,2006,6/27/2006,"Action, Adventure",USA,2.3,957,"$1,500,000 ",,,37.0,3.0
12651,tt8554826,Cheat the Hangman,Cheat the Hangman,2018,11/27/2018,"Drama, Western",USA,3.2,112,"$1,500,000 ",,,10.0,
74227,tt1122765,The House That Jack Built,The House That Jack Built,2009,7/14/2009,Horror,USA,3.3,102,"$1,500,000 ",,,1.0,3.0
6343,tt1132135,Asylum Seekers,Asylum Seekers,2009,6/13/2009,"Comedy, Fantasy",USA,4.9,968,"$1,500,000 ",,,8.0,20.0
19112,tt0051899,Dove la terra scotta,Man of the West,1958,2/4/1959,"Drama, Romance, Western",USA,7.1,6645,"$1,500,000 ",,,65.0,55.0
31813,tt0036261,Il fantasma dell'opera,Phantom of the Opera,1943,8/27/1943,"Drama, Horror, Music",USA,6.4,6310,"$1,500,000 ",,63.0,99.0,54.0
42269,tt0357110,La storia di Jack e Rose,The Ballad of Jack and Rose,2005,4/8/2005,Drama,USA,6.6,10974,"$1,500,000 ","$712,275 ",59.0,70.0,60.0
16738,tt1535962,Decisions,Decisions,2011,5/13/2011,"Action, Crime, Drama",USA,3.4,221,"$1,500,000 ",,,5.0,2.0
76403,tt3387648,The Taking,The Taking,2014,10/21/2014,"Horror, Mystery, Thriller",USA,6.0,24825,"$1,500,000 ",,,125.0,99.0
34362,tt1027874,InAlienable,InAlienable,2007,12/21/2007,Sci-Fi,USA,3.4,448,"$1,500,000 ",,,18.0,11.0
25297,tt0849441,Ghost Town: The Movie,Ghost Town: The Movie,2007,6/3/2007,Western,USA,4.0,363,"$1,500,000 ",,,37.0,4.0
28187,tt1876330,Hello Herman,Hello Herman,2012,6/7/2013,Drama,USA,5.8,1281,"$1,500,000 ","$8,437 ",27.0,77.0,15.0
12461,tt0195593,Chapter Zero,Chapter Zero,1999,11/13/1999,Comedy,USA,5.6,161,"$1,500,000 ",,,4.0,1.0
1263,tt1843834,A Cold Day in Hell,A Cold Day in Hell,2011,6/28/2011,Western,USA,2.1,447,"$1,500,000 ",,,29.0,2.0
58346,tt0056585,Per un pugno di donne,Tickle Me,1965,8/11/1966,"Comedy, Musical, Romance",USA,6.0,1370,"$1,500,000 ",,,39.0,3.0
55061,tt0418676,Novel Romance,Novel Romance,2006,10/8/2006,"Comedy, Romance",USA,5.3,247,"$1,500,000 ",,,2.0,4.0
64940,tt0040367,Scandalo internazionale,A Foreign Affair,1948,12/24/1949,"Comedy, Drama, Romance",USA,7.3,6646,"$1,500,000 ",,75.0,62.0,50.0
68025,tt1533087,Soda Springs,Soda Springs,2012,3/27/2012,Drama,USA,6.1,311,"$1,500,000 ",,,13.0,1.0
128,tt3526286,#Horror,#Horror,2015,11/20/2015,"Crime, Drama, Horror",USA,3.0,3345,"$1,500,000 ",,42.0,89.0,38.0
66800,tt0253688,Shoot or Be Shot,Shoot or Be Shot,2002,1/25/2002,Comedy,USA,5.0,233,"$1,500,000 ",,,10.0,5.0
2548,tt1788383,Accusato speciale,House of the Rising Sun,2011,12/28/2011,"Action, Crime, Drama",USA,4.4,3291,"$1,500,000 ",,,19.0,19.0
6271,tt2663744,Assassins Tale,Assassins Tale,2013,7/9/2013,"Action, Crime, Thriller",USA,4.2,842,"$1,500,000 ",,,11.0,4.0
18504,tt1199552,Dog Jack,Dog Jack,2010,8/29/2010,"Drama, War",USA,4.7,119,"$1,500,000 ",,,9.0,
64745,tt0433397,Satin,Satin,2011,3/1/2011,"Comedy, Drama, Music",USA,4.5,216,"$1,500,000 ",,,6.0,1.0
4393,tt0082009,American Pop,American Pop,1981,2/13/1981,"Animation, Drama, History",USA,7.3,4212,"$1,500,000 ",,57.0,71.0,45.0
3736,tt5073756,All At Once,All At Once,2016,11/9/2016,Drama,USA,5.9,291,"$1,500,000 ",,,12.0,2.0
21947,tt1095001,Explicit Ills,Explicit Ills,2008,3/6/2009,"Drama, Romance",USA,5.7,712,"$1,500,000 ","$28,564 ",54.0,6.0,18.0
75255,tt0245317,The Next Big Thing,The Next Big Thing,2001,11/8/2001,"Comedy, Romance, Drama",USA,5.8,220,"$1,500,000 ","$14,600 ",47.0,5.0,10.0
26662,tt1568332,Grey Skies,Grey Skies,2010,12/1/2010,"Horror, Sci-Fi",USA,3.4,506,"$1,500,000 ",,,16.0,7.0
27776,tt0422401,Hatchet,Hatchet,2006,4/2/2010,"Comedy, Horror, Thriller",USA,5.7,28336,"$1,500,000 ","$175,281 ",57.0,252.0,242.0
78789,tt0049367,Trittico d'amore,Invitation to the Dance,1956,5/15/1956,"Animation, Fantasy, Musical",USA,6.4,773,"$1,500,000 ",,,15.0,6.0
76523,tt1245678,The Torturer,The Torturer,2008,10/15/2008,"Drama, Horror, Mystery",USA,4.5,243,"$1,500,000 ",,,6.0,7.0
81954,tt0055279,Vento caldo,Parrish,1961,5/4/1961,Drama,USA,6.5,986,"$1,500,000 ",,,33.0,10.0
28962,tt1144546,Holyman Undercover,Holyman Undercover,2010,4/10/2010,Comedy,USA,4.8,226,"$1,500,000 ",,,7.0,6.0
69663,tt3228994,Straight Outta Oakland,Straight Outta Oakland,2014,3/13/2015,Drama,USA,6.9,115,"$1,500,000 ",,,4.0,1.0
25554,tt0048545,Gioventù bruciata,Rebel Without a Cause,1955,2/24/1956,Drama,USA,7.7,81625,"$1,500,000 ","$199,963 ",89.0,335.0,165.0
31966,tt0070248,Il gabbiano Jonathan Livingston,Jonathan Livingston Seagull,1973,10/23/1973,"Drama, Family",USA,6.1,1809,"$1,500,000 ",,,42.0,31.0
81071,tt3139764,Unsullied,Unsullied,2014,8/28/2015,"Action, Horror, Thriller",USA,4.3,282,"$1,500,000 ","$510,957 ",42.0,7.0,10.0
83737,tt3733606,Who's Driving Doug,Who's Driving Doug,2016,2/26/2016,Drama,USA,6.0,404,"$1,500,000 ",,,9.0,5.0
43855,tt1639397,Last I Heard,Last I Heard,2013,6/8/2013,"Comedy, Drama",USA,6.0,386,"$1,500,000 ",,,9.0,9.0
59947,tt0065063,Prendi i soldi e scappa,Take the Money and Run,1969,12/21/1972,"Comedy, Crime",USA,7.3,27712,"$1,500,000 ",,67.0,91.0,60.0
63049,tt0013556,Robin Hood,Robin Hood,1922,10/18/1922,"Adventure, Family, Romance",USA,7.2,1971,"$1,500,000 ",,,25.0,19.0
39728,tt0119324,La casa del sì,The House of Yes,1997,10/10/1997,"Comedy, Drama",USA,6.6,7510,"$1,500,000 ","$626,057 ",54.0,91.0,44.0
35990,tt1071877,Jelly,Jelly,2010,2010,"Comedy, Romance",USA,5.3,138,"$1,500,000 ",,,1.0,
10658,tt0439504,Brothers in Arms,Brothers in Arms,2005,2005,Western,USA,2.3,1654,"$1,500,000 ",,,23.0,4.0
67427,tt1645141,Sironia,Sironia,2011,3/8/2013,"Drama, Musical",USA,5.8,150,"$1,500,000 ",,,3.0,4.0
58487,tt1761005,Persecuted,Persecuted,2014,7/18/2014,"Action, Drama, Mystery",USA,3.5,1481,"$1,500,000 ","$1,558,836 ",11.0,47.0,29.0
81059,tt7153766,Unsane,Unsane,2018,7/5/2018,"Drama, Horror, Mystery",USA,6.4,38858,"$1,500,000 ","$7,732,899 ",63.0,331.0,263.0
60122,tt0087942,Prime Risk,Prime Risk,1985,4/1/1985,"Crime, Drama, Thriller",USA,5.8,229,"$1,500,000 ",,,4.0,4.0
77008,tt0790788,The Yellow Wallpaper,The Yellow Wallpaper,2012,4/10/2012,Thriller,USA,6.6,1578,"$1,500,000 ",,,23.0,9.0
38079,tt0113540,Kids,Kids,1995,2/21/1997,Drama,USA,7.1,71729,"$1,500,000 ","$7,412,216 ",63.0,425.0,77.0
63154,tt0100506,Rockula,Rockula,1990,2/23/1990,"Comedy, Horror, Musical",USA,5.3,869,"$1,500,000 ",,,19.0,16.0
664,tt0075612,3 donne,3 Women,1977,6/4/1977,"Drama, Mystery, Thriller",USA,7.8,13396,"$1,500,000 ",,71.0,97.0,91.0
635,tt0364914,2BPerfectlyHonest,2BPerfectlyHonest,2004,5/2/2004,"Comedy, Drama",USA,4.5,219,"$1,500,000 ",,,4.0,1.0
69994,tt1678052,Sucker,Sucker,2013,4/20/2013,"Action, Adventure, Comedy",USA,4.8,385,"$1,500,000 ",,,8.0,6.0
47556,tt0021749,Luci della città,City Lights,1931,4/2/1931,"Comedy, Drama, Romance",USA,8.5,162668,"$1,500,000 ","$19,181 ",99.0,295.0,122.0
29150,tt1508669,Hopeful Notes,Hopeful Notes,2010,12/15/2010,Drama,USA,9.7,669,"$1,500,000 ",,,2.0,2.0
74998,tt2058710,The Mark,The Mark,2012,10/16/2012,"Action, Fantasy, Sci-Fi",USA,3.8,876,"$1,500,000 ",,,17.0,8.0
43924,tt0343962,Latin Dragon,Latin Dragon,2004,9/7/2004,"Action, Adventure",USA,4.3,315,"$1,500,000 ",,,13.0,4.0
34017,tt4950110,I'm Not Ashamed,I'm Not Ashamed,2016,3/2/2018,"Biography, Drama",USA,5.9,3173,"$1,500,000 ","$2,082,980 ",31.0,82.0,33.0
9547,tt0424855,Blood Deep,Blood Deep,2005,10/14/2014,"Horror, Mystery, Thriller",USA,2.3,303,"$1,500,000 ",,,7.0,1.0
26384,tt0146803,"Goodnight, Joseph Parker","Goodnight, Joseph Parker",2004,10/17/2004,Drama,USA,7.6,1461,"$1,500,000 ",,,9.0,1.0
40858,tt0051878,La lunga estate calda,"The Long, Hot Summer",1958,5/20/1958,Drama,USA,7.4,9599,"$1,500,000 ",,,69.0,39.0
17538,tt0493409,Devil's Den,Devil's Den,2006,10/22/2006,"Action, Comedy, Fantasy",USA,4.8,1063,"$1,500,000 ",,,28.0,17.0
62188,tt1578265,Re-Generator,Re-Generator,2010,1/23/2010,"Action, Sci-Fi",USA,2.5,131,"$1,500,000 ",,,4.0,4.0
33018,tt0032484,Il prigioniero di Amsterdam,Foreign Correspondent,1940,12/30/1946,"Action, Romance, Thriller",USA,7.5,17890,"$1,500,000 ",,,140.0,68.0
81450,tt0046250,Vacanze romane,Roman Holiday,1953,12/23/1953,"Comedy, Romance",USA,8.0,124684,"$1,500,000 ",,78.0,289.0,118.0
12739,tt0298798,Cherish,Cherish,2002,1/17/2003,"Comedy, Drama, Thriller",USA,6.7,2657,"$1,500,000 ","$179,751 ",51.0,42.0,40.0
14683,tt0810811,Costa Chica: Confession of an Exorcist,Costa Chica: Confession of an Exorcist,2006,2006,Horror,USA,2.7,143,"$1,500,000 ",,,1.0,5.0
30033,tt3474978,I Dream Too Much,I Dream Too Much,2015,6/21/2016,"Comedy, Drama",USA,5.1,287,"$1,500,000 ",,,17.0,8.0
71608,tt0027977,Tempi moderni,Modern Times,1936,3/12/1937,"Comedy, Drama, Family",USA,8.5,211250,"$1,500,000 ","$163,577 ",96.0,307.0,115.0
497,tt0072228,2 supercolt a Brooklyn,The Super Cops,1974,10/11/1974,"Action, Comedy, Crime",USA,6.6,785,"$1,500,000 ",,,24.0,20.0
42191,tt0031981,La sposa di Boston,The Story of Alexander Graham Bell,1939,4/4/1945,"Biography, Drama, History",USA,6.9,971,"$1,500,000 ",,,18.0,2.0
60440,tt2360586,Provoked,Provoked,2016,7/22/2016,Horror,USA,2.8,267,"$1,500,000 ",,,9.0,3.0
71568,tt0081611,Tell Me a Riddle,Tell Me a Riddle,1980,3/12/1982,Drama,USA,6.0,176,"$1,500,000 ",,,4.0,4.0
15741,tt5702314,Dance Night Obsession,Dance Night Obsession,2019,8/23/2019,Thriller,USA,3.9,127,"$1,500,000 ",,,13.0,3.0
38029,tt0097659,Kickboxer - Il nuovo guerriero,Kickboxer,1989,11/1/1989,"Action, Sport, Thriller",USA,6.5,48938,"$1,500,000 ","$14,697,005 ",33.0,134.0,55.0
28351,tt3586118,Hero of the Underworld,Hero of the Underworld,2016,11/14/2016,Drama,USA,4.0,161,"$1,500,000 ",,,29.0,1.0
83566,tt0013750,When Knighthood Was in Flower,When Knighthood Was in Flower,1922,9/15/1922,"Romance, Drama",USA,6.3,968,"$1,500,000 ",,,6.0,4.0
26665,tt9685652,Greyhound Attack,Greyhound Attack,2019,3/28/2019,"Action, Drama, War",USA,1.2,215,"$1,500,000 ",,,44.0,
67731,tt0410626,Slingshot,Slingshot,2005,4/26/2005,"Crime, Drama, Romance",USA,4.7,643,"$1,500,000 ",,,8.0,3.0
29010,tt1135500,Homecoming - Vendetta e seduzione,Homecoming,2009,9/26/2009,"Drama, Thriller",USA,5.3,4137,"$1,500,000 ",,21.0,20.0,35.0
4497,tt1562847,Amigo,Amigo,2010,7/6/2011,"Drama, War",USA,5.8,542,"$1,500,000 ","$184,705 ",63.0,8.0,33.0
38237,tt0485924,Killing Ariel,Killing Ariel,2008,1/1/2008,"Horror, Thriller",USA,4.8,666,"$1,500,000 ",,,10.0,7.0
23658,tt4196814,Four Blood Moons,Four Blood Moons,2015,3/23/2015,"Drama, History",USA,4.6,150,"$1,500,000 ",,,9.0,
80729,tt0018524,Uncle Tom's Cabin,Uncle Tom's Cabin,1927,9/2/1928,"Drama, History",USA,6.7,379,"$1,500,000 ",,,22.0,6.0
80795,tt0277585,Undermind,Undermind,2003,2003,"Crime, Drama, Fantasy",USA,5.7,382,"$1,500,000 ",,,7.0,4.0
51011,tt1928337,Mine Games,Mine Games,2012,8/16/2012,"Horror, Mystery, Thriller",USA,5.4,3335,"$1,500,000 ",,,27.0,33.0
62990,tt3110770,Road Hard,Road Hard,2015,3/6/2015,Comedy,USA,6.1,1747,"$1,500,000 ","$113,169 ",50.0,18.0,14.0
23910,tt3259178,Free Fall - Caduta libera,Free Fall,2014,10/17/2014,"Action, Crime, Thriller",USA,4.5,1857,"$1,500,000 ",,,15.0,12.0
68582,tt0028442,Sotto due bandiere,Under Two Flags,1936,5/1/1936,"Adventure, Romance",USA,6.5,372,"$1,500,000 ",,,8.0,7.0
28932,tt0063415,Hollywood Party,The Party,1968,2/7/1969,Comedy,USA,7.5,37240,"$1,500,000 ",,,195.0,69.0
6022,tt0047840,Artisti e modelle,Artists and Models,1955,11/7/1955,"Comedy, Musical, Romance",USA,6.6,3494,"$1,500,000 ",,,31.0,28.0
56945,tt0114068,Out-of-Sync,Out-of-Sync,1995,6/2/1995,"Crime, Drama",USA,4.4,162,"$1,500,000 ",,,2.0,1.0
2421,tt1056411,Able Danger,Able Danger,2008,9/11/2008,"Crime, Drama, Thriller",USA,5.2,114,"$1,500,000 ",,,2.0,17.0
11502,tt0075263,Candidato all'obitorio,St. Ives,1976,7/31/1976,"Action, Crime, Drama",USA,6.3,1934,"$1,500,000 ",,,28.0,17.0
49898,tt1072438,Matrimonio Tra Amici,Not Since You,2009,10/26/2010,"Drama, Romance",USA,5.5,1749,"$1,500,000 ",,,15.0,9.0
9194,tt0383929,Black August,Black August,2007,8/1/2007,Drama,USA,6.4,269,"$1,500,000 ",,,5.0,5.0
11566,tt0780492,Canvas,Canvas,2006,12/12/2008,Drama,USA,6.5,977,"$1,500,000 ","$35,630 ",67.0,28.0,33.0
57116,tt3689590,Pacific Standard Time,Pacific Standard Time,2016,8/26/2016,"Crime, Mystery, Thriller",USA,4.3,661,"$1,500,000 ",,,12.0,3.0
17571,tt2010976,Devoured,Devoured,2012,9/2/2014,"Drama, Horror, Thriller",USA,5.4,1513,"$1,500,000 ",,,16.0,27.0
75367,tt0163125,The Operator,The Operator,2000,3/1/2000,"Comedy, Drama, Thriller",USA,5.5,329,"$1,500,000 ",,44.0,8.0,8.0
8573,tt1885300,Best Man Down,Best Man Down,2012,10/3/2013,"Comedy, Drama",USA,6.4,8985,"$1,500,000 ","$1,938 ",36.0,34.0,22.0
82584,tt0077617,Vittorie perdute,Go Tell the Spartans,1978,9/1/1978,"Drama, War",USA,6.6,2448,"$1,500,000 ",,,54.0,17.0
9609,tt0086979,Blood Simple - Sangue facile,Blood Simple,1984,8/22/1985,"Crime, Drama, Thriller",USA,7.6,85482,"$1,500,000 ","$3,851,855 ",81.0,312.0,153.0
8567,tt6155194,Best F(r)iends: Volume 1,Best F(r)iends: Volume 1,2017,3/30/2018,"Comedy, Drama, Thriller",USA,5.4,2373,"$1,500,000 ","$252,410 ",,26.0,19.0
48006,tt0062824,L'uomo dalla cravatta di cuoio,Coogan's Bluff,1968,12/21/1968,"Action, Comedy, Crime",USA,6.5,15324,"$1,500,000 ","$3,110,000 ",,96.0,34.0
59735,tt3361068,Potent Media's Sugar Skull Girls,Potent Media's Sugar Skull Girls,2016,10/1/2016,"Comedy, Horror",USA,2.5,113,"$1,500,000 ",,,5.0,1.0
18235,tt0465440,Disappearances,Disappearances,2006,2/1/2006,"Action, Adventure, Drama",USA,5.0,568,"$1,500,000 ","$7,506 ",57.0,20.0,15.0
23620,tt0395543,Forty Shades of Blue,Forty Shades of Blue,2005,12/7/2005,"Drama, Music, Romance",USA,6.2,1406,"$1,500,000 ","$75,828 ",74.0,29.0,40.0
11598,tt0037576,Capitan Kidd,Captain Kidd,1945,12/25/1945,"Adventure, Biography, Drama",USA,6.4,1535,"$1,500,000 ",,,34.0,28.0
48959,tt1592265,Maladies,Maladies,2012,6/29/2012,Drama,USA,5.1,675,"$1,500,000 ",,28.0,7.0,21.0
75355,tt0078032,The One Man Jury,The One Man Jury,1978,9/29/1978,"Action, Crime, Drama",USA,5.5,162,"$1,500,000 ",,,3.0,7.0
74742,tt1786714,The Life Zone,The Life Zone,2011,6/10/2011,"Horror, Thriller",USA,1.9,536,"$1,500,000 ",,,22.0,12.0
66252,tt0282965,Shadow Glories,Shadow Glories,2001,9/28/2001,"Action, Crime, Drama",USA,4.6,114,"$1,500,000 ","$24,997 ",,8.0,5.0
29921,tt0036824,I conquistatori dei sette mari,The Fighting Seabees,1944,7/10/1944,"Drama, Romance, War",USA,6.6,3231,"$1,500,000 ",,,39.0,18.0
28904,tt1185242,Hollywood - Un sogno a luci rosse,Finding Bliss,2009,12/15/2011,"Comedy, Romance",USA,5.3,2365,"$1,500,000 ","$6,783 ",30.0,27.0,26.0
11191,tt0303816,Cabin Fever,Cabin Fever,2002,9/5/2003,"Drama, Horror",USA,5.7,73040,"$1,500,000 ","$21,158,188 ",56.0,794.0,270.0
72710,tt0082118,The Burning,The Burning,1981,5/8/1981,Horror,USA,6.4,15352,"$1,500,000 ",,42.0,216.0,153.0
75967,tt0436742,The Salon,The Salon,2005,1/1/2005,"Comedy, Drama",USA,4.1,494,"$1,500,000 ","$139,084 ",26.0,6.0,14.0
24764,tt1492849,Garbage,Garbage,2012,5/7/2013,"Comedy, Drama",USA,5.2,535,"$1,500,000 ",,,1.0,2.0
72705,tt1686897,The Bunker,The Bunker,2014,4/8/2014,Action,USA,6.6,1190,"$1,500,000 ",,,6.0,1.0
53723,tt0127045,Neon Maniacs,Neon Maniacs,1986,11/14/1986,"Horror, Sci-Fi, Thriller",USA,5.1,2081,"$1,500,000 ",,,39.0,47.0
80196,tt0064155,Un uomo chiamato Charro,Charro!,1969,2/4/1971,Western,USA,5.8,1632,"$1,500,000 ",,,43.0,12.0
73394,tt0116182,The Elevator,The Elevator,1996,1998,"Comedy, Drama",USA,4.4,191,"$1,500,000 ",,,3.0,
31210,tt0367089,Il calamaro e la balena,The Squid and the Whale,2005,6/9/2006,"Comedy, Drama",USA,7.3,76666,"$1,500,000 ","$7,372,734 ",82.0,268.0,133.0
28257,tt1336621,Henry Lee Lucas,Drifter: Henry Lee Lucas,2009,7/22/2010,"Crime, Horror, Thriller",USA,4.0,595,"$1,500,000 ",,,15.0,13.0
58799,tt1262941,Pickin' & Grinnin',Pickin' & Grinnin',2010,4/17/2010,Comedy,USA,6.4,120,"$1,500,000 ","$4,000 ",,15.0,
34653,tt1650537,Inkubus,Inkubus,2011,10/28/2011,Horror,USA,3.9,1090,"$1,500,000 ","$81,600 ",,18.0,22.0
59184,tt0906773,Player 5150,Player 5150,2008,6/6/2008,"Action, Drama",USA,5.0,612,"$1,500,000 ",,,8.0,4.0
16653,tt0127503,Death House,Death House,1988,12/1/1988,"Action, Horror, Sci-Fi",USA,4.2,435,"$1,500,000 ",,,20.0,23.0
5078,tt0179803,Angels with Angles,Angels with Angles,2005,12/16/2005,Comedy,USA,4.9,122,"$1,500,000 ",,26.0,2.0,2.0
62728,tt0875613,Rift,Rift,2011,5/15/2011,"Horror, Thriller",USA,2.5,409,"$1,500,000 ",,,14.0,3.0
